法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十二年法律第百六十四号,児童福祉法,じどうふくしほう,,昭和二十二年十二月十二日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律,令和二年法律第四十一号,令和二年六月十日,令和三年四月一日,,322AC0000000164,https://elaws.e-gov.go.jp/document?lawid=322AC0000000164_20210401_502AC0000000041,,○
法律,昭和二十三年法律第百九十八号,民生委員法,みんせいいいんほう,,昭和二十三年七月二十九日,平成２７年８月１日（基準日）現在のデータ,,,,,323AC0000000198,https://elaws.e-gov.go.jp/document?lawid=323AC0000000198_20150801_000000000000000,,
政令,昭和二十三年政令第二百二十六号,民生委員法施行令,みんせいいいんほうせこうれい,,昭和二十三年八月十日,平成２７年８月１日（基準日）現在のデータ,,,,,323CO0000000226,https://elaws.e-gov.go.jp/document?lawid=323CO0000000226_20150801_000000000000000,,
法律,昭和二十四年法律第二百八十三号,身体障害者福祉法,しんたいしょうがいしゃふくしほう,,昭和二十四年十二月二十六日,生活困窮者等の自立を促進するための生活困窮者自立支援法等の一部を改正する法律,平成三十年法律第四十四号,平成三十年六月八日,令和二年四月一日,,324AC1000000283,https://elaws.e-gov.go.jp/document?lawid=324AC1000000283_20200401_430AC0000000044,,
政令,昭和二十四年政令第五号,未復員等についての届に関する政令,みふくいんとうについてのとどけにかんするせいれい,,昭和二十四年一月十二日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000005,https://elaws.e-gov.go.jp/document?lawid=324CO0000000005_20150801_000000000000000,,
府省令,昭和二十五年厚生省令第十五号,身体障害者福祉法施行規則,しんたいしょうがいしゃふくしほうせこうきそく,,昭和二十五年四月六日,身体障害者福祉法施行規則等の一部を改正する省令,令和二年厚生労働省令第百三号,令和二年五月二十五日,令和二年五月二十五日,,325M50000100015,https://elaws.e-gov.go.jp/document?lawid=325M50000100015_20200525_502M60000100103,,
府省令,昭和二十五年厚生省令第二十一号,生活保護法施行規則,せいかつほごほうせこうきそく,,昭和二十五年五月二十日,生活保護法施行規則の一部を改正する省令,令和二年厚生労働省令第百九十八号,令和二年十二月九日,令和二年十二月九日,,325M50000100021,https://elaws.e-gov.go.jp/document?lawid=325M50000100021_20201209_502M60000100198,,
政令,平成十七年政令第百四十九号,特定障害者に対する特別障害給付金の支給に関する法律に基づき市町村に交付する事務費に関する政令,とくていしょうがいしゃにたいするとくべつしょうがいきゅうふきんのしきゅうにかんするほうりつにもとづきしちょうそんにこうふするじむひにかんするせいれい,,平成十七年四月一日,国民年金法に基づき市町村に交付する事務費に関する政令等の一部を改正する政令,令和二年政令第三十七号,令和二年三月六日,令和二年三月六日,,417CO0000000149,https://elaws.e-gov.go.jp/document?lawid=417CO0000000149_20200306_502CO0000000037,,○
法律,昭和二十六年法律第四十五号,社会福祉法,しゃかいふくしほう,,昭和二十六年三月二十九日,地域共生社会の実現のための社会福祉法等の一部を改正する法律,令和二年法律第五十二号,令和二年六月十二日,令和三年四月一日,,326AC0000000045,https://elaws.e-gov.go.jp/document?lawid=326AC0000000045_20210401_502AC0000000052,,○
法律,昭和二十六年法律第四十五号,社会福祉法,しゃかいふくしほう,,昭和二十六年三月二十九日,地域共生社会の実現のための社会福祉法等の一部を改正する法律,令和二年法律第五十二号,令和二年六月十二日,令和四年六月十一日,公布の日から起算して二年を超えない範囲内において政令で定める日,326AC0000000045,https://elaws.e-gov.go.jp/document?lawid=326AC0000000045_20220611_502AC0000000052,○,○
府省令,平成十七年厚生労働省令第四十九号,特定障害者に対する特別障害給付金の支給に関する法律施行規則,とくていしょうがいしゃにたいするとくべつしょうがいきゅうふきんのしきゅうにかんするほうりつせこうきそく,,平成十七年三月二十八日,年金制度の機能強化のための国民年金法等の一部を改正する法律の一部の施行に伴う厚生労働省関係省令の整備に関する省令,令和二年厚生労働省令第百十四号,令和二年六月五日,令和二年六月五日,,417M60000100049,https://elaws.e-gov.go.jp/document?lawid=417M60000100049_20200605_502M60000100114,,
府省令,昭和二十六年厚生省令第二十八号,社会福祉法施行規則,しゃかいふくしほうせこうきそく,,昭和二十六年六月二十一日,社会福祉法施行規則の一部を改正する省令,令和二年厚生労働省令第三十五号,令和二年三月二十四日,令和二年三月二十四日,,326M50000100028,https://elaws.e-gov.go.jp/document?lawid=326M50000100028_20200324_502M60000100035,,
政令,平成十八年政令第三百四十四号,自殺総合対策会議令,じさつそうごうたいさくかいぎれい,,平成十八年十月二十七日,厚生労働省組織令等の一部を改正する政令,平成二十九年政令第七十六号,平成二十九年三月三十一日,平成二十九年四月一日,,418CO0000000344,https://elaws.e-gov.go.jp/document?lawid=418CO0000000344_20170401_429CO0000000076,,
法律,昭和二十七年法律第三百五号,日本赤十字社法,にほんせきじゅうじしゃほう,,昭和二十七年八月十四日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC1000000305,https://elaws.e-gov.go.jp/document?lawid=327AC1000000305_20150801_000000000000000,,
政令,昭和二十七年政令第百四十三号,戦傷病者戦没者遺族等援護法施行令,せんしょうびょうしゃせんぼつしゃいぞくとうえんごほうせこうれい,,昭和二十七年五月十二日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000143,https://elaws.e-gov.go.jp/document?lawid=327CO0000000143_20150801_000000000000000,,
府省令,昭和二十七年大蔵省令第七十一号,遺族国庫債券の発行交付等に関する省令,いぞくこっこさいけんのはっこうこうふとうにかんするしょうれい,,昭和二十七年六月十七日,国債規則等の一部を改正する省令,令和二年財務省令第八十九号,令和二年十二月二十五日,令和三年四月一日,,327M50000040071,https://elaws.e-gov.go.jp/document?lawid=327M50000040071_20210401_502M60000040089,,
府省令,昭和二十七年大蔵省令第七十四号,遺族国庫債券の担保権の設定に関する省令,いぞくこっこさいけんのたんぽけんのせっていにかんするしょうれい,,昭和二十七年六月二十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000040074,https://elaws.e-gov.go.jp/document?lawid=327M50000040074_20161001_000000000000000,,
府省令,昭和二十七年厚生省令第十六号,戦傷病者戦没者遺族等援護法施行規則,せんしょうびょうしゃせんぼつしゃいぞくとうえんごほうせこうきそく,,昭和二十七年五月十五日,戦没者等の遺族に対する特別弔慰金支給法施行規則等の一部を改正する省令,令和元年厚生労働省令第七十一号,令和元年十一月十九日,令和二年四月一日,,327M50000100016,https://elaws.e-gov.go.jp/document?lawid=327M50000100016_20200401_501M60000100071,,
府省令,昭和二十七年厚生省令第四十三号,日本赤十字社法施行規則,にほんせきじゅうじしゃほうせこうきそく,,昭和二十七年十月三十一日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,327M50000100043,https://elaws.e-gov.go.jp/document?lawid=327M50000100043_20190701_501M60000100020,,
法律,昭和二十八年法律第百六十一号,未帰還者留守家族等援護法,みきかんしゃるすかぞくとうえんごほう,,昭和二十八年八月一日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC0000000161,https://elaws.e-gov.go.jp/document?lawid=328AC0000000161_20150801_000000000000000,,
政令,昭和二十八年政令第二百一号,国の援助等を必要とする帰国者に関する領事官の職務等に関する法律施行令,くにのえんじょとうをひつようとするきこくものにかんするりょうじかんのしょくむとうにかんするほうりつせこうれい,,昭和二十八年八月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000201,https://elaws.e-gov.go.jp/document?lawid=328CO0000000201_20150801_000000000000000,,
政令,昭和二十八年政令第二百十一号,未帰還者留守家族等援護法施行令,みきかんしゃるすかぞくとうえんごほうせこうれい,,昭和二十八年八月二十四日,予防接種法施行令等の一部を改正する政令,令和三年政令第九十二号,令和三年三月三十一日,令和三年四月一日,,328CO0000000211,https://elaws.e-gov.go.jp/document?lawid=328CO0000000211_20210401_503CO0000000092,,
府省令,昭和二十八年厚生省令第四十号,戦傷病者戦没者遺族等援護法の一部を改正する法律により増額される障害年金及び遺族年金の額の改定に関する省令,せんしょうびょうしゃせんぼつしゃいぞくとうえんごほうのいちぶをかいせいするほうりつによりぞうがくされるしょうがいねんきんおよびいぞくねんきんのがくのかいていにかんするしょうれい,,昭和二十八年九月二日,元号の表記の整理のための厚生労働省関係省令の一部を改正する省令,令和元年厚生労働省令第一号,令和元年五月七日,令和元年五月七日,,328M50000100040,https://elaws.e-gov.go.jp/document?lawid=328M50000100040_20190507_501M60000100001,,
府省令,昭和二十八年厚生省令第四十二号,未帰還者留守家族等援護法施行規則,みきかんしゃるすかぞくとうえんごほうせこうきそく,,昭和二十八年九月十一日,戦没者等の遺族に対する特別弔慰金支給法施行規則等の一部を改正する省令,令和元年厚生労働省令第七十一号,令和元年十一月十九日,令和二年四月一日,,328M50000100042,https://elaws.e-gov.go.jp/document?lawid=328M50000100042_20200401_501M60000100071,,
府省令,平成二十年文部科学省・厚生労働省令第二号,社会福祉士介護福祉士学校指定規則,しゃかいふくししかいごふくししがっこうしていきそく,,平成二十年三月二十四日,社会福祉士介護福祉士学校指定規則の一部を改正する省令,令和元年文部科学省・厚生労働省令第四号,令和元年十二月十三日,令和元年十二月十四日,,420M60000180002,https://elaws.e-gov.go.jp/document?lawid=420M60000180002_20191214_501M60000180004,,
府省令,平成二十年文部科学省・厚生労働省令第三号,社会福祉に関する科目を定める省令,しゃかいふくしにかんするかもくをさだめるしょうれい,,平成二十年三月二十四日,社会福祉士介護福祉士学校指定規則及び社会福祉に関する科目を定める省令の一部を改正する省令,令和二年文部科学省・厚生労働省令第一号,令和二年三月六日,令和三年四月一日,,420M60000180003,https://elaws.e-gov.go.jp/document?lawid=420M60000180003_20210401_502M60000180001,,
法律,明治三十二年法律第九十三号,行旅病人及行旅死亡人取扱法,こうりょびょうにんおよびこうりょしぼうにんとりあつかいほう,,明治三十二年三月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000093,https://elaws.e-gov.go.jp/document?lawid=132AC0000000093_20150801_000000000000000,,
法律,昭和三十二年法律第百九号,引揚者給付金等支給法,ひきあげしゃきゅうふきんとうしきゅうほう,,昭和三十二年五月十七日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,332AC0000000109,https://elaws.e-gov.go.jp/document?lawid=332AC0000000109_20160401_426AC0000000069,,
政令,昭和三十二年政令第百十二号,引揚者給付金等支給法施行令,ひきあげしゃきゅうふきんとうしきゅうほうせこうれい,,昭和三十二年五月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,332CO0000000112,https://elaws.e-gov.go.jp/document?lawid=332CO0000000112_20150801_000000000000000,,
府省令,昭和三十二年大蔵省令第四十九号,引揚者国庫債券の発行交付等に関する省令,ひきあげしゃこっこさいけんのはっこうこうふとうにかんするしょうれい,,昭和三十二年六月十二日,国債規則等の一部を改正する省令,令和二年財務省令第八十九号,令和二年十二月二十五日,令和三年四月一日,,332M50000040049,https://elaws.e-gov.go.jp/document?lawid=332M50000040049_20210401_502M60000040089,,
府省令,昭和三十二年厚生省令第二十五号,引揚者給付金等支給法施行規則,ひきあげしゃきゅうふきんとうしきゅうほうせこうきそく,,昭和三十二年六月十二日,戦没者等の遺族に対する特別弔慰金支給法施行規則等の一部を改正する省令,令和元年厚生労働省令第七十一号,令和元年十一月十九日,令和二年四月一日,,332M50000100025,https://elaws.e-gov.go.jp/document?lawid=332M50000100025_20200401_501M60000100071,,
府省令,令和二年厚生労働省令第百四十二号,令和二年七月三日からの大雨による災害に対処するための要介護認定有効期間及び要支援認定有効期間の特例に関する省令,れいわにねんしちがつみっかからのおおあめによるさいがいにたいしょするためのようかいごにんていゆうこうきかんおよびようしえんにんていゆうこうきかんのとくれいにかんするしょうれい,,令和二年七月十七日,,,,令和二年七月十七日,,502M60000100142,https://elaws.e-gov.go.jp/document?lawid=502M60000100142_20200717_000000000000000,,
政令,昭和二十三年政令第七十四号,児童福祉法施行令,じどうふくしほうせこうれい,,昭和二十三年三月三十一日,児童福祉法施行令の一部を改正する政令,令和二年政令第三百十五号,令和二年十月二十三日,令和三年四月一日,,323CO0000000074,https://elaws.e-gov.go.jp/document?lawid=323CO0000000074_20210401_502CO0000000315,,○
政令,平成二十三年政令第二百九号,平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての児童福祉法施行令等の臨時特例に関する政令,へいせいにじゅうにねんしがついこうにおいてはっせいがかくにんされたこうていえきにきいんしてしょうじたじたいにたいしょするためのてあてきんとうについてのじどうふくしほうせこうれいとうのりんじとくれいにかんするせいれい,,平成二十三年七月一日,障害者の日常生活及び社会生活を総合的に支援するための法律及び児童福祉法の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令,平成三十年政令第五十四号,平成三十年三月二十二日,平成三十年四月一日,,423CO0000000209,https://elaws.e-gov.go.jp/document?lawid=423CO0000000209_20180401_430CO0000000054,,
政令,昭和三十四年政令第五十一号,未帰還者に関する特別措置法施行令,みきかんしゃにかんするとくべつそちほうせこうれい,,昭和三十四年三月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,334CO0000000051,https://elaws.e-gov.go.jp/document?lawid=334CO0000000051_20150801_000000000000000,,
府省令,昭和三十四年厚生省令第五号,未帰還者に関する特別措置法施行規則,みきかんしゃにかんするとくべつそちほうせこうきそく,,昭和三十四年三月三十日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,334M50000100005,https://elaws.e-gov.go.jp/document?lawid=334M50000100005_20190701_501M60000100020,,
政令,昭和三十五年政令第百三号,知的障害者福祉法施行令,ちてきしょうがいしゃふくしほうせこうれい,,昭和三十五年四月十八日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律の施行に伴う厚生労働省関係政令等の整理に関する政令,平成三十年政令第二百九十一号,平成三十年十月十七日,令和元年六月一日,,335CO0000000103,https://elaws.e-gov.go.jp/document?lawid=335CO0000000103_20190601_430CO0000000291,,
府省令,昭和三十五年厚生省令第十六号,知的障害者福祉法施行規則,ちてきしょうがいしゃふくしほうせこうきそく,,昭和三十五年五月九日,平成２８年１０月１日（基準日）現在のデータ,,,,,335M50000100016,https://elaws.e-gov.go.jp/document?lawid=335M50000100016_20161001_000000000000000,,
